NFE,N_obs,N_query,amortized_wall_s,cache_level,geometry_build_s,geometry_build_topk_calls,geometry_cache_mb,max_abs_diff_vs_geometry_per_call,mean_condition_context_s,mean_ode_loop_s,mean_peak_allocated_mb,mean_peak_reserved_mb,mean_query_cache_mb,mean_query_context_s,mean_topk_calls,mean_wall_s,min_wall_s,mode,speedup_vs_none,speedup_vs_per_call_geometry,warmup_repeats
1,256,8192,0.007770801894366741,geometry,0.0019952571019530296,1,3.25,0.0,0.0035562333650887012,0.0022394261322915554,297.5263671875,312.0,9.25,0.0016470234841108322,1.0,0.007770801894366741,0.007759766653180122,geometry_per_call,1.4572808546669487,1.0,1
1,256,8192,0.011324240826070309,none,0.0019952571019530296,1,3.25,0.0,0.003460829146206379,0.0074741109274327755,103.0732421875,120.0,0.0,4.2883213609457016e-05,4.0,0.011324240826070309,0.011191261000931263,none,1.0,0.686209522891552,1
1,256,8192,0.00802432931959629,static_features,0.0019952571019530296,1,3.25,1.6689300537109375e-06,0.003793977200984955,0.000611819326877594,303.76025390625,310.0,14.0,0.002545055467635393,1.0,0.00802432931959629,0.00801259558647871,static_per_call,1.411238294821135,0.9684051569754986,1
1,256,8192,0.007950715720653534,geometry,0.0019952571019530296,1,3.25,0.0,0.003642978146672249,0.0022712736390531063,294.5107421875,312.0,9.25,0.0002579973079264164,0.0,0.006953087169677019,0.006880311295390129,geometry_persistent,1.6286637215561237,1.117604555319807,1
1,256,8192,0.007973483763635159,static_features,0.0019952571019530296,1,3.25,1.6689300537109375e-06,0.004045550245791674,0.0005798311904072762,294.51025390625,308.0,14.0,0.0012496192939579487,0.0,0.006975855212658644,0.006963283754885197,static_persistent_geometry,1.6233480312952775,1.1139568780420726,1
2,256,8192,0.008967481553554535,geometry,0.0019952571019530296,1,3.25,0.0,0.0035492493771016598,0.0035910154692828655,297.6826171875,312.0,9.25,0.0015027285553514957,1.0,0.008967481553554535,0.008941779844462872,geometry_per_call,1.9762762287148086,1.0,1
2,256,8192,0.01772222062572837,none,0.0019952571019530296,1,3.25,0.0,0.0035664308816194534,0.013794565573334694,103.2294921875,120.0,0.0,3.9950478821992874e-05,8.0,0.01772222062572837,0.017488248646259308,none,1.0,0.5060021395138217,1
2,256,8192,0.008058412000536919,static_features,0.0019952571019530296,1,3.25,1.9073486328125e-06,0.0034250691533088684,0.0011387099511921406,303.76025390625,310.0,14.0,0.002429257147014141,1.0,0.008058412000536919,0.007988011464476585,static_per_call,2.199219973432429,1.1128100118183393,1
2,256,8192,0.008676796685904264,geometry,0.0019952571019530296,1,3.25,0.0,0.0034335898235440254,0.0036651883274316788,294.6669921875,312.0,9.25,0.00021721050143241882,0.0,0.00767916813492775,0.007657797075808048,geometry_persistent,2.307830785097807,1.1677673148953531,1
2,256,8192,0.00845623528584838,static_features,0.0019952571019530296,1,3.25,1.9073486328125e-06,0.004035491030663252,0.0010694265365600586,294.51025390625,308.0,14.0,0.0012394231744110584,0.0,0.007458606734871864,0.007453299127519131,static_persistent_geometry,2.3760765590267883,1.2022998225161945,1
