epoch,step,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,data_path_diag_storage_mode,batch_size,N_full,N_query,N_obs_total,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,pre_model_total_ms,model_forward_ms,backward_ms,query_microbatch_active,train_query_microbatch_size,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,query_microbatches,optimizer_ms,total_training_step_ms,allocated_after_materialization_mb,allocated_before_model_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18089,0.4115113988518715,78.62767111510038,18.782910890877247,27.986759319901466,6.211243569850922,0.5964562296867371,0.0,0.0,132.20504112541676,54.85185608267784,74.85281862318516,0,0,0.0,0.0,0.0,0.0,1,1.4021601527929306,193.35250742733479,53.3974609375,46.54150390625,12429.65283203125,14790.0
1,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18401,0.4011765122413635,34.44049879908562,16.954981721937656,26.17337740957737,6.160115823149681,0.6503742188215256,0.0,0.0,84.37934797257185,55.44579867273569,76.62570476531982,0,0,0.0,0.0,0.0,0.0,1,1.6739871352910995,181.57257791608572,53.3974609375,46.54150390625,12429.65283203125,14790.0
1,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18045,0.37407781928777695,37.28169668465853,17.986418679356575,27.215702459216118,6.5224627032876015,0.5931034684181213,0.0,0.0,89.59938399493694,55.278174579143524,76.86065416783094,0,0,0.0,0.0,0.0,0.0,1,1.3144370168447495,191.33824855089188,53.3974609375,46.54150390625,12429.65283203125,14790.0
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18420,0.9453892707824707,41.948857717216015,35.9108317643404,42.48720407485962,13.566775247454643,0.6294213235378265,0.0,0.0,134.5430901274085,55.213361978530884,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,58.02047532051802,53.3974609375,53.3974609375,4920.5859375,14790.0
2,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18669,0.41709933429956436,38.17009273916483,17.18518603593111,27.47524343430996,5.893593654036522,0.6026020273566246,0.0,0.0,89.32671789079905,55.83719536662102,76.68129820376635,0,0,0.0,0.0,0.0,0.0,1,1.5493882820010185,194.62084863334894,53.3974609375,46.54150390625,12429.65283203125,14790.0
2,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18749,0.32937806099653244,34.87939015030861,16.997450031340122,26.398825459182262,6.23023696243763,0.6160121411085129,0.0,0.0,85.12191474437714,55.677395313978195,77.98595819622278,0,0,0.0,0.0,0.0,0.0,1,1.4175251126289368,189.73158951848745,53.3974609375,46.54150390625,12429.65283203125,14790.0
2,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18443,0.3668135032057762,33.97059813141823,16.619745641946793,26.370888575911522,6.0235001146793365,0.6148945540189743,0.0,0.0,83.59962701797485,56.62865191698074,78.83608061820269,0,0,0.0,0.0,0.0,0.0,1,1.4083059504628181,189.32678271085024,53.3974609375,46.54150390625,12429.65283203125,14790.0
3,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18619,0.4386119544506073,54.68842480331659,33.7940352037549,40.531051345169544,11.207782663404942,0.6115417927503586,0.0,0.0,140.83283580839634,56.41549360007048,79.66944295912981,0,0,0.0,0.0,0.0,0.0,1,1.800541765987873,202.4004776030779,53.3974609375,46.54150390625,12429.65283203125,14790.0
3,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18230,0.4310682415962219,50.88228266686201,31.784252263605595,34.37037579715252,8.485590107738972,0.61824731528759,0.0,0.0,126.14074815064669,57.75255896151066,81.09479118138552,0,0,0.0,0.0,0.0,0.0,1,1.4594318345189095,203.27993482351303,53.3974609375,46.54150390625,12429.65283203125,14790.0
3,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,19235,0.4293927922844887,49.48990140110254,44.07235234975815,42.997054755687714,12.420246377587318,0.669931061565876,0.0,0.0,149.6494859457016,57.61874094605446,80.81178832799196,0,0,0.0,0.0,0.0,0.0,1,2.454548142850399,204.03507351875305,53.3974609375,46.54150390625,12429.65283203125,14790.0
4,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18116,0.5850009620189667,46.61937057971954,43.16187836229801,43.77929028123617,12.706609442830086,0.632215291261673,0.0,0.0,146.89936395734549,57.81960766762495,80.79335186630487,0,0,0.0,0.0,0.0,0.0,1,1.438758336007595,206.07559382915497,53.3974609375,46.54150390625,12429.65283203125,14790.0
