epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds
1,1.7463919456968917,1.4428210691972212,88.52066442742944,6.574338120408356,95.1964861182496
2,1.3915447478598737,,87.1706887576729,0.0,87.17079352214932
3,1.2844253702366606,,86.94938999600708,0.0,86.94958974607289
4,1.1983506222988696,,86.41289717331529,0.0,86.41302707977593
5,1.1235855589521693,,86.84768935013562,0.0,86.84780054073781
6,1.0669043520663648,,86.97048538085073,0.0,86.9706317698583
7,1.028758353375374,,86.92386897373945,0.0,86.92398854345083
8,0.9958142219705785,,86.6664714962244,0.0,86.66660307906568
9,0.9777622628719249,,86.89913684967905,0.0,86.89923881925642
10,0.9663406534397856,,86.93898938968778,0.0,86.9390966668725
11,0.953194963171127,,86.89284837339073,0.0,86.89297520648688
12,0.9419431483491938,,86.95861845649779,0.0,86.95871763210744
