epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds
1,1.8078136175451145,1.9764646291732788,24.32302957959473,1.260202132165432,25.900802574120462
2,1.5941605903732945,,24.36826133914292,0.0,24.36834263522178
3,1.4341937857614437,,25.003498835489154,0.0,25.00355470739305
4,1.3060457471390845,,25.454095451161265,0.0,25.454152720980346
5,1.2580032348632812,1.871089220046997,25.654486145824194,1.2459066063165665,27.295146320946515
6,1.2231078886649978,,25.821496546268463,0.0,25.82154823001474
7,1.1845013255804357,,25.82071085833013,0.0,25.82076533511281
8,1.1506145638479313,,25.63434460479766,0.0,25.634401876479387
9,1.1072597235021457,,25.590060647577047,0.0,25.59011652134359
10,1.052001953125,1.7200965881347656,25.549204913899302,1.2501536682248116,27.145301840268075
11,1.0315492656868948,,25.513899710960686,0.0,25.513979889452457
12,1.0211239667005942,,25.527384067885578,0.0,25.527438265271485
13,0.9880739668725242,,25.490373617969453,0.0,25.490428654477
14,0.9575167373872139,,25.488356852903962,0.0,25.488414962776005
15,0.9415667896539393,1.6303703784942627,25.419668382033706,1.2242235699668527,26.978818744421005
16,0.9251271637392716,,25.42461254261434,0.0,25.424664785154164
17,0.920316776759188,,25.478292752057314,0.0,25.478348625823855
18,0.9178989034303477,,25.512817034497857,0.0,25.512868997640908
19,0.9034547402825154,,25.513067295774817,0.0,25.513120933435857
20,0.88405034239863,1.559998869895935,25.51115959417075,1.2201657090336084,27.19300511199981
21,0.8750428213200099,,25.507781320251524,0.0,25.507833003997803
22,0.8302176569549131,,25.509532881900668,0.0,25.509588197804987
23,0.8539860685106734,,25.492776660248637,0.0,25.49283393099904
24,0.8218179084885289,,25.527917492203414,0.0,25.52797755692154
25,0.8041255574830821,1.438596248626709,25.530871485359967,1.2479153824970126,27.129046861082315
26,0.7968769342126981,,25.51503004692495,0.0,25.515096257440746
27,0.8199775051063215,,25.515045187436044,0.0,25.515102738514543
28,0.7878229383011939,,25.53312655352056,0.0,25.533185780979693
29,0.7834695627991582,,25.532564382068813,0.0,25.53262193221599
30,0.7727689071440361,1.2352842092514038,25.511069512926042,1.2363266134634614,27.132227966561913
31,0.7698319663464184,,25.50989853963256,0.0,25.509953297674656
32,0.7689553918972821,,25.532939311116934,0.0,25.53299686126411
33,0.7802068146181779,,25.53073196671903,0.0,25.530789515934885
34,0.7737702920403279,,25.5121993040666,0.0,25.51225322112441
35,0.7665804473447128,1.0524593591690063,25.509511897340417,1.229760835878551,27.079548489302397
36,0.767547607421875,,25.52024515531957,0.0,25.520313601009548
37,0.7284141862896126,,25.511626628227532,0.0,25.511682502925396
38,0.7689974072953345,,25.531483408994973,0.0,25.53155185561627
39,0.7626767225668464,,25.531593437306583,0.0,25.53164763469249
40,0.7315026941433759,0.9058407545089722,25.533225994557142,1.2455437676981091,27.279322411864996
41,0.7284051062355579,,25.64402660727501,0.0,25.64408722985536
42,0.7214785293794014,,25.53295142762363,0.0,25.533011212944984
43,0.7265295109278719,,25.57416950073093,0.0,25.574225653894246
44,0.7299110520053917,,25.65541485324502,0.0,25.65559979621321
45,0.7192538624078455,0.8183579444885254,25.64792553242296,1.2246911823749542,27.272127131931484
46,0.7129590746382592,,25.524112094193697,0.0,25.524196743033826
47,0.7280480290802431,,25.57077748887241,0.0,25.570832524448633
48,0.7111042721170775,,25.58045844733715,0.0,25.580520747229457
49,0.732024716659331,,25.547755861654878,0.0,25.54781257454306
50,0.7042407183579995,0.771156370639801,25.60647935885936,1.2184367636218667,27.188165172934532
51,0.7006292208819322,,25.57124537974596,0.0,25.571309635415673
52,0.7022639529805788,,25.610420470125973,0.0,25.610494502820075
53,0.6925752129353268,,25.637401312589645,0.0,25.637456627562642
54,0.7109619462993783,,25.629673471674323,0.0,25.62973577156663
55,0.7062712655940526,0.7345117926597595,25.580032266676426,1.249807051382959,27.237583958543837
56,0.6971791227098921,,25.578382385894656,0.0,25.578524586744606
57,0.7035448316117408,,25.570105806924403,0.0,25.570164473727345
58,0.690674795231349,,25.59956038556993,0.0,25.59961709752679
59,0.6869498776717925,,25.565796277485788,0.0,25.565862209536135
60,0.6682572700607945,0.7037545442581177,25.571224436163902,1.2373860478401184,27.298532999120653
61,0.7026109292473591,,25.540954957716167,0.0,25.541013903915882
62,0.693711562895439,,25.554803025908768,0.0,25.55486755911261
63,0.6929957430127641,,25.617498675361276,0.0,25.617572989314795
64,0.679551406645439,,25.64524203632027,0.0,25.64530629105866
65,0.6571526863205601,0.6836838126182556,25.609043698757887,1.2372947502881289,27.256984111852944
