2026/08/20 17:54:48.974, 1, 100, 15, 108.31
2026/08/20 17:54:50.977, 1, 0, 15, 98.92
2026/08/20 17:54:52.977, 1, 0, 15, 58.62
2026/08/20 17:54:54.978, 1, 0, 18, 50.10
2026/08/20 17:54:56.978, 1, 0, 18, 41.35
2026/08/20 17:54:58.979, 1, 0, 18, 38.04
2026/08/20 17:55:00.979, 1, 0, 457, 48.66
2026/08/20 17:55:02.979, 1, 58, 41485, 218.50
2026/08/20 17:55:04.980, 1, 100, 41487, 287.37
2026/08/20 17:55:06.980, 1, 100, 41487, 291.91
2026/08/20 17:55:08.981, 1, 99, 41487, 290.12
2026/08/20 17:55:10.981, 1, 98, 41487, 287.73
2026/08/20 17:55:12.982, 1, 99, 41487, 288.49
2026/08/20 17:55:14.982, 1, 100, 41487, 289.73
2026/08/20 17:55:16.982, 1, 100, 41487, 290.08
2026/08/20 17:55:18.983, 1, 99, 41487, 291.11
2026/08/20 17:55:20.983, 1, 99, 41487, 287.61
2026/08/20 17:55:22.984, 1, 100, 41487, 289.25
2026/08/20 17:55:24.985, 1, 100, 41487, 290.45
2026/08/20 17:55:26.985, 1, 99, 41487, 291.12
2026/08/20 17:55:28.985, 1, 0, 41487, 231.70
2026/08/20 17:55:30.986, 1, 100, 41487, 245.31
2026/08/20 17:55:32.986, 1, 100, 41487, 290.62
2026/08/20 17:55:34.987, 1, 99, 41487, 289.46
2026/08/20 17:55:36.987, 1, 100, 41487, 289.97
2026/08/20 17:55:38.988, 1, 100, 41487, 290.39
2026/08/20 17:55:40.988, 1, 99, 41487, 290.30
2026/08/20 17:55:42.989, 1, 100, 41487, 289.64
2026/08/20 17:55:44.989, 1, 100, 41487, 293.92
2026/08/20 17:55:46.990, 1, 99, 41487, 289.30
2026/08/20 17:55:48.990, 1, 100, 41487, 289.88
2026/08/20 17:55:50.991, 1, 99, 41487, 289.49
2026/08/20 17:55:52.991, 1, 99, 41487, 290.06
2026/08/20 17:55:54.991, 1, 100, 41487, 292.55
2026/08/20 17:55:56.992, 1, 99, 41487, 287.18
2026/08/20 17:55:58.992, 1, 100, 41487, 293.42
2026/08/20 17:56:00.993, 1, 99, 41487, 293.44
2026/08/20 17:56:02.993, 1, 99, 41487, 289.17
2026/08/20 17:56:04.994, 1, 100, 41487, 286.72
2026/08/20 17:56:06.994, 1, 99, 41487, 288.50
