2026/08/20 17:04:05.158, 1, 0, 15, 28.24
2026/08/20 17:04:07.162, 1, 0, 15, 28.07
2026/08/20 17:04:09.162, 1, 0, 15, 27.91
2026/08/20 17:04:11.162, 1, 0, 18, 65.94
2026/08/20 17:04:13.163, 1, 0, 18, 49.15
2026/08/20 17:04:15.163, 1, 0, 18, 30.09
2026/08/20 17:04:17.164, 1, 0, 457, 27.92
2026/08/20 17:04:19.164, 1, 0, 707, 64.66
2026/08/20 17:04:21.165, 1, 89, 41591, 123.18
2026/08/20 17:04:23.166, 1, 99, 41593, 263.95
2026/08/20 17:04:25.166, 1, 84, 41593, 269.16
2026/08/20 17:04:27.167, 1, 100, 41593, 263.86
2026/08/20 17:04:29.168, 1, 91, 41593, 260.89
2026/08/20 17:04:31.168, 1, 100, 41593, 272.93
2026/08/20 17:04:33.169, 1, 97, 41593, 264.47
2026/08/20 17:04:35.169, 1, 97, 41593, 270.95
2026/08/20 17:04:37.170, 1, 99, 41593, 263.64
2026/08/20 17:04:39.170, 1, 86, 41593, 274.70
2026/08/20 17:04:41.171, 1, 99, 41593, 266.41
2026/08/20 17:04:43.171, 1, 86, 41593, 270.77
2026/08/20 17:04:45.171, 1, 99, 41593, 261.43
2026/08/20 17:04:47.172, 1, 89, 41593, 274.83
2026/08/20 17:04:49.172, 1, 19, 41593, 136.09
2026/08/20 17:04:51.173, 1, 0, 41593, 185.39
2026/08/20 17:04:53.173, 1, 98, 41593, 265.23
2026/08/20 17:04:55.174, 1, 100, 41593, 274.07
2026/08/20 17:04:57.174, 1, 99, 41593, 266.08
2026/08/20 17:04:59.175, 1, 100, 41593, 277.93
2026/08/20 17:05:01.175, 1, 99, 41593, 269.91
2026/08/20 17:05:03.176, 1, 98, 41593, 275.16
2026/08/20 17:05:05.234, 1, 99, 41593, 264.00
2026/08/20 17:05:07.235, 1, 100, 41593, 273.36
2026/08/20 17:05:09.235, 1, 98, 41593, 275.82
2026/08/20 17:05:11.236, 1, 99, 41593, 264.86
2026/08/20 17:05:13.236, 1, 100, 41593, 280.12
2026/08/20 17:05:15.237, 1, 91, 41593, 274.11
2026/08/20 17:05:17.237, 1, 99, 41593, 270.67
2026/08/20 17:05:19.238, 1, 100, 41593, 275.01
2026/08/20 17:05:21.238, 1, 98, 41593, 121.90
2026/08/20 17:05:23.238, 1, 100, 41593, 284.26
2026/08/20 17:05:25.239, 1, 89, 41593, 274.60
2026/08/20 17:05:27.239, 1, 98, 41593, 267.76
2026/08/20 17:05:29.240, 1, 100, 41593, 278.75
2026/08/20 17:05:31.240, 1, 88, 41593, 265.50
2026/08/20 17:05:33.241, 1, 99, 41593, 275.03
2026/08/20 17:05:35.241, 1, 100, 41593, 280.27
2026/08/20 17:05:37.242, 1, 99, 41593, 269.11
2026/08/20 17:05:39.242, 1, 99, 41593, 272.15
2026/08/20 17:05:41.243, 1, 100, 41593, 278.64
2026/08/20 17:05:43.243, 1, 88, 41593, 273.74
2026/08/20 17:05:45.243, 1, 99, 41593, 269.00
