epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds
1,1.856243920704675,1.5711736679077148,27.14833823684603,1.5556486556306481,28.805110317654908
2,1.4540796431284102,,27.162134889513254,0.0,27.162265355698764
3,1.3620527963789681,,27.598393488675356,0.0,27.598480373620987
4,1.2843675159272694,,27.266798332333565,0.0,27.26687152776867
5,1.2300526452442957,,26.97698859218508,0.0,26.97708413656801
6,1.1918971954830109,,26.70527728833258,0.0,26.705346573144197
7,1.1581357925657243,,26.547572849318385,0.0,26.54764492623508
8,1.09571535625155,,26.466489924117923,0.0,26.46656339801848
9,1.0645968724810888,,26.535740399733186,0.0,26.53580940514803
10,1.0282537066747273,,26.65223967190832,0.0,26.652301971800625
11,1.0063073294503349,,26.833474094048142,0.0,26.833539746701717
12,0.9847383045014881,,26.920085192658007,0.0,26.920183810405433
13,0.9512771727546813,,26.979098913259804,0.0,26.979169034399092
14,0.9319835844494048,,26.954697706736624,0.0,26.954764475114644
15,0.9167446560329862,,26.949996505863965,0.0,26.950064391829073
16,0.9041579715789311,,26.87630170583725,0.0,26.876395295374095
17,0.8915014115590898,,26.85850480105728,0.0,26.858570175245404
18,0.8716543288457961,,26.797351907007396,0.0,26.797438231296837
19,0.8578189668201265,,26.747837783768773,0.0,26.747907067649066
20,0.857658446781219,,26.716096570715308,0.0,26.716170883737504
21,0.8477661496117002,,26.76189185772091,0.0,26.761990475468338
22,0.814536624484592,,26.820430771447718,0.0,26.820503966882825
23,0.807288578578404,,26.771862315014005,0.0,26.771928804926574
24,0.7979793245830233,,26.892003034241498,0.0,26.892067009583116
25,0.793046133858817,,26.900553312152624,0.0,26.900626226328313
26,0.7872712877061632,,26.841432795859873,0.0,26.84150626976043
27,0.7868479774111793,,26.86578897573054,0.0,26.86586552299559
28,0.7834825061616444,,26.833822125568986,0.0,26.833933592773974
29,0.7652134971013145,,26.81237955018878,0.0,26.81246671359986
30,0.7623590136331225,,26.863242151215672,0.0,26.863308641128242
31,0.7610130310058594,,26.818288733251393,0.0,26.818361369892955
32,0.7655844915480841,,26.812740935012698,0.0,26.812907160259783
33,0.7502547975570436,,26.786894408985972,0.0,26.786964250728488
34,0.7558072408040365,,26.831704458221793,0.0,26.831778770312667
35,0.7691924685523623,,26.80964298453182,0.0,26.809709475375712
36,0.7583647833930122,,26.85324124712497,0.0,26.853309692814946
37,0.7573070828876798,,26.853098766878247,0.0,26.85318453423679
38,0.7539669218517485,,26.867268505506217,0.0,26.867343937046826
39,0.7501441713363405,,26.91554108262062,0.0,26.91561567503959
40,0.7361749316018725,,26.87166215851903,0.0,26.871750720776618
41,0.7380527920193143,,26.851518901996315,0.0,26.851583437994123
42,0.735411871047247,,26.84863828960806,0.0,26.848916541785
43,0.7227275182330419,,26.831251955591142,0.0,26.831323195248842
44,0.7399654085673983,,26.814524701796472,0.0,26.814620525576174
45,0.7339408511207217,,26.777714367955923,0.0,26.777786166407168
46,0.7260615030924479,,26.876447179354727,0.0,26.87655753083527
47,0.7236173720586867,,26.88626220356673,0.0,26.886349647305906
48,0.7247404068235367,,26.878101436421275,0.0,26.878203687258065
49,0.7120788210914248,,26.896947463043034,0.0,26.89702428970486
50,0.7044185456775484,,26.960524670779705,0.0,26.96061099600047
51,0.7197599865141369,,26.917419474571943,0.0,26.917578438296914
52,0.7165742904420883,,26.862487155012786,0.0,26.862589962780476
53,0.7061043391152034,,26.871542191132903,0.0,26.871627958491445
54,0.7150160774352059,,26.876431555487216,0.0,26.876582137309015
55,0.7091680254255023,,26.89373868983239,0.0,26.893813841044903
56,0.726219237796844,,26.887623134069145,0.0,26.887757510878146
57,0.705391838437035,,26.923164828680456,0.0,26.923242214135826
58,0.7037259056454613,,26.910265915095806,0.0,26.91033771354705
59,0.700821043953063,,26.898700735531747,0.0,26.89879795629531
60,0.7056396121070498,,26.831186305731535,0.0,26.83126704301685
61,0.6956540062313988,,26.812355292961,0.0,26.812429325655103
62,0.6937983073885479,,26.851019044406712,0.0,26.851139733567834
63,0.6917919582790799,,26.928902251645923,0.0,26.92898047529161
64,0.692634521968781,,26.820261182263494,0.0,26.820338289253414
65,0.6878029354034908,,26.835853995755315,0.0,26.83597552217543
66,0.6888736543201265,,26.858134952373803,0.0,26.858208706602454
67,0.6907196044921875,,26.907423235476017,0.0,26.90750229731202
68,0.6828309921991258,,26.853776319883764,0.0,26.853852309286594
69,0.6822592114645337,,26.908781385049224,0.0,26.908848714083433
70,0.6800279163178944,,26.894356166012585,0.0,26.894420421682298
71,0.6808949425106957,,26.869197260588408,0.0,26.869269338436425
72,0.677023690844339,,26.84280410874635,0.0,26.842877303250134
73,0.6785633147708954,,26.871236318722367,0.0,26.87132795434445
74,0.6781581091502357,,26.81391993444413,0.0,26.81399704143405
75,0.6833799453008742,,26.833313409239054,0.0,26.833390794694424
76,0.6743413531591022,,26.87005524430424,0.0,26.870133745484054
77,0.6782828436957465,,26.965923908166587,0.0,26.96600492578
78,0.669442858014788,,26.858835733495653,0.0,26.858904737979174
79,0.6742779565235925,,26.888635508716106,0.0,26.8887128951028
80,0.6749721103244357,,26.90333196055144,0.0,26.903441472910345
81,0.6708395216200087,,26.859274831600487,0.0,26.859358084388077
82,0.6745152549138145,,26.871797791682184,0.0,26.871871824376285
83,0.6765003507099454,,26.89432138390839,0.0,26.894439278170466
84,0.6707037062872023,,26.89796567801386,0.0,26.898039151914418
85,0.6727927071707589,,26.877981373108923,0.0,26.878052334301174
86,0.6705256870814732,,26.922861888073385,0.0,26.9229398323223
87,0.6704188755580357,,26.898276639170945,0.0,26.89836883265525
88,0.6693048628549727,,26.87139832228422,0.0,26.871479339897633
89,0.6692889985584077,,26.849622656591237,0.0,26.849694455973804
90,0.6643605307927207,,26.861519569531083,0.0,26.861587177030742
91,0.6684224567716084,,26.799283696338534,0.0,26.799371976405382
92,0.6692349872891865,,26.741949409246445,0.0,26.742020649835467
93,0.6662942795526414,,26.8007659772411,0.0,26.800829672254622
94,0.6642434861924913,,26.842390314675868,0.0,26.84245959855616
95,0.6646055796789745,,26.818489751778543,0.0,26.818562388420105
96,0.6683640252976191,,26.891089789569378,0.0,26.891160470433533
97,0.6663157145182291,,26.89990486204624,0.0,26.900005993433297
98,0.6623477633037265,,26.905856258235872,0.0,26.90605852007866
99,0.6675995720757378,,26.90312977321446,0.0,26.90322084724903
100,0.664986807202536,0.6743566649300712,26.903341012075543,1.4899147041141987,28.518113140016794
