epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds
1,1.744951938061004,1.4489836259321733,62.830153402872384,3.3058304879814386,66.23748813942075
2,1.3906116891414562,,61.419159828685224,0.0,61.41931264381856
3,1.2998735955420961,,61.23533696960658,0.0,61.23543949890882
4,1.2011879454267786,,61.05509778857231,0.0,61.05518802627921
5,1.1198252414135224,,61.09767371695489,0.0,61.09777065832168
6,1.0511276569772274,,61.413717958144844,0.0,61.41389424074441
7,1.0247643653382645,,61.47739854082465,0.0,61.47749939374626
8,0.9975894359832115,,61.49625256843865,0.0,61.49635956808925
9,0.9827430400442569,,61.37579831760377,0.0,61.37597515899688
10,0.9519997454704122,,61.362994845956564,0.0,61.36309150792658
11,0.943504090004779,,61.00074560381472,0.0,61.00082327052951
12,0.9363820502098571,,61.38919238746166,0.0,61.389258878305554
