N_query_effective,query_microbatch_size,execution,batch_size,N_obs,iterations,step_ms,queries_per_sec,gpu_peak_allocated_mb,gpu_peak_reserved_mb,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,loss_mean
4096,0,monolithic,1,256,3,58.49427729845047,70023.94403646226,257.03466796875,342.0,0.0,0.0,0.0,0.0,2.0658781131108603
16384,0,monolithic,1,256,3,190.79362973570824,85872.88801358566,799.51953125,904.0,0.0,0.0,0.0,0.0,2.08735183874766
16384,4096,microbatched,1,256,3,234.2416731019815,69944.85559735102,320.93701171875,904.0,1.9821329042315483,5.55518517891566,149.39206559211016,61.095027873913445,2.08735191822052
16384,8192,microbatched,1,256,3,209.35285091400146,78260.21918722408,500.71826171875,904.0,1.9758927325407665,5.517377518117428,145.1554149389267,44.547924771904945,2.0873520374298096
65536,0,monolithic,1,256,3,702.3606272414327,93308.19162998491,3025.8723958333335,3416.0,0.0,0.0,0.0,0.0,2.069149295488993
65536,4096,microbatched,1,256,3,888.4422102322181,73765.06794163957,323.74951171875,3416.0,2.2306786850094795,5.5480146159728365,599.6896149590611,234.19566918164492,2.069149295488993
65536,8192,microbatched,1,256,3,783.2190580666065,83675.18553720725,513.03564453125,3416.0,2.2864596297343573,5.482083807388942,572.8768628711501,176.11802679797015,2.0691493352254233
