mode,condition_attention_execution,sensor_attention_padding_mode,sensor_attention_buckets,kv_projection_calls,condition_context_ms,query_forward_ms,backward_ms,optimizer_ms,whole_step_ms,peak_allocated_mib,peak_reserved_mib,sensor_tokenization_ms,sensor_to_latent_attention_ms,latent_self_attention_ms,sensor_back_attention_ms,condition_context_total_ms,whole_step_speedup_percent_vs_legacy,peak_allocated_change_percent_vs_legacy
C_cached_buckets_3,cached_kv,static_buckets,"[256, 320, 384]",3,21.78558288142085,107.36371856182814,206.97937766090035,1.729632019996643,344.34910583496094,20329.95068359375,23130.0,1.7592160105705261,10.020991802215576,7.041408061981201,5.1128318309783936,25.39776039123535,5.18079828291305,-2.078946886291604
D_dynamic_trim_diagnostic,cached_kv,static_buckets,"[192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384]",128,289.6995129995048,99.22178136184812,982.623390853405,2.6102079153060913,1399.07373046875,20219.56396484375,22920.0,1.5063999891281128,182.09121417999268,5.760928153991699,63.25441551208496,251.02642822265625,-285.24582180844794,-2.610634538563665
bucket_2,cached_kv,static_buckets,"[288, 384]",2,20.71406412869692,108.89819683507085,211.56196016818285,1.8039199709892273,349.42811584472656,20352.12158203125,23094.0,1.8339840173721313,9.954815149307251,7.449599981307983,5.381632089614868,25.589247703552246,3.7822534152812888,-1.9721587411915245
bucket_4,cached_kv,static_buckets,"[224, 288, 336, 384]",4,22.603167220950127,109.10353297367692,212.5210389494896,1.9698720574378967,352.9451599121094,20319.64501953125,23026.0,1.7843199968338013,10.53287959098816,7.186928033828735,5.5956480503082275,26.183648109436035,2.813808005601944,-2.1285850528440924
