method,checkpoint_sha256,mean_unobserved_relative_l2,error_ci_low,error_ci_high,training_update_ms,training_update_q25_ms,training_update_q75_ms,training_time_stage,training_peak_allocated_mib,training_memory_stage,inference_latency_ms,inference_latency_q25_ms,inference_latency_q75_ms,model_state_mib,inference_peak_allocated_mib,training_batch_size,inference_batch_size,sensor_count,N,dtype,inference_context
DMF-Gen,857a505ff96cc3512c20f45641250d9db9d448c1f1e33b8c4a1c792acb1e4a06,0.1170851006737255,0.1152293016262132,0.119002979177899,112.19590157270432,111.30806268192828,113.0055170506239,1,8121.091796875,1,16.690303802490234,16.525312423706055,16.891904830932617,24.826839447021484,417.64208984375,32,1,256,40300,float32,torch.inference_mode
Senseiver,b055ccc8ad86ab2d4d44a527620f4c0db06009c26de26d8d52db44065fc48503,0.1429897546212702,0.1410956958960351,0.1448327279410096,49.85473491251469,49.40425115637481,50.45957094989717,1,3916.97412109375,1,8.301568031311035,8.174592018127441,8.62003231048584,31.813251495361328,536.671875,32,1,256,40300,float32,torch.inference_mode
SiT,1d20713b43bc3b44dc8610d93d5e6bc9454d1c2933372422802f7fd6953ee4af,0.2102528958397785,0.2077676903522875,0.2129568996031632,661.8023118935525,657.1492762304842,666.6162915062159,1,14881.0029296875,1,20.99193572998047,20.77238368988037,21.36064052581787,39.92413330078125,82.40625,32,1,256,40300,float32,torch.inference_mode
Geo-FNO,56208012cebc98c4a4143382641a99ec28f495dc5e3ccf3ab211e6d63d0f19da,0.2298955470118939,0.2269874419937122,0.2330580060310197,235.67476449534297,235.3624973911792,236.289587803185,1,9493.8974609375,1,3.406752109527588,3.272048056125641,3.477504014968872,19.700458526611328,122.521484375,32,1,256,40300,float32,torch.inference_mode
FFM-Perceiver,c35041c26835b2fd3e513b1afa4faeef9e4515dad7b38669de1a9c6002f94d5b,0.3478903514821485,0.3450262457128656,0.3508576677525544,109.16404239833356,107.83787094987927,110.21950282156467,1,4761.90771484375,1,23.08710479736328,22.936671257019043,23.444912910461422,20.124530792236328,312.5302734375,32,1,256,40300,float32,torch.inference_mode
FFM-FNO,9819ad702a9463c88409a67dff81eab8a2f5b043465fdd7063abfb116d5836bf,0.3898152005840624,0.3873161080591014,0.3923381810093614,249.8460649512708,249.42498607560992,250.4438469186425,1,9449.73974609375,1,8.701935768127441,8.47271990776062,9.254960060119627,19.709735870361328,149.7373046875,32,1,256,40300,float32,torch.inference_mode
MLP-RBF,a528358e6db159af6bc407f1d45588be0b0ef696b1ce38bc7a1dd50ecb56420d,0.3961935395853694,0.3929659132281111,0.3993146226248674,24.946504272520546,24.61377321742475,25.33601550385356,1,1955.02490234375,1,3.1447041034698486,3.126271963119507,3.1651840209960938,2.273578643798828,280.70654296875,32,1,256,40300,float32,torch.inference_mode
Latent FM,d2257080b4379fd8d2560d38b0e0e8225d80ba763df98bae7495ab95e07e009c,0.4531038572602047,0.4490515539202153,0.4570982154638618,90.72533203288911,89.43820395506918,92.08593424409628,2,4233.2724609375,1,10.172415733337402,9.89068841934204,10.415103912353516,337.7514839172363,392.1171875,32,1,256,40300,float32,torch.inference_mode
