panel,role,source_path,sha256,rows,action
"a,b",panels a/b accepted plotted samples and summaries,Dis_SI_Process/results/derived/20260831_1409/figure5_v5_source.csv,8753eec426d6fbfc83ff5f3a469d05b8b2596dab114f9c28aaa192b973ce1615,11074,reused_in_place
c,panel c accepted C1b curves and intervals,Dis_SI_Process/results/ValidationV51/PanelC/panel_c_exploration_20260902_1129/selective_risk.csv,6144766d3b9c89027971b310c8a1ba982c1af06ac534826bac4616cacb3b3679,90,reused_in_place
d,panel d accuracy and inference-time summaries,Dis_SI_Process/results/ValidationV51/Derived/20260902_1129/panel_d_plot_source_common_b32.csv,3c966c0f75a0b5c927267aceb77bb3625e006af086aaaac69b96df52984cd6e8,8,reused_in_place
d,panel d common-B32 training time and memory,Dis_SI_Process/results/ValidationV51/Derived/20260902_1129/panel_d_stage_source_common_b32.csv,79d3491f9268ba668a2a8a68535aade89e2df7e73f4e6d716cfae71f34407ac4,9,reused_in_place
d,panel d dedicated inference-memory dumbbells,Dis_SI_Process/results/ValidationV51/InferenceMemory/inference_memory_native_v51_20260903_094021/inference_memory_summary.csv,60af88d21ca33e3585ba9e8b142de1f42f267169a64a56b018c5a2b84529c6b2,8,reused_in_place
