snapshot,candidate,nfe,field,relative_l2,weights,epoch
2,CQ-LR-128,1,CO,0.44965967535972595,live,845
2,CQ-LR-128,1,T,0.19458836317062378,live,845
2,CQ-LR-128,1,U_0,0.13494469225406647,live,845
2,CQ-LR-128,1,U_1,0.5546858906745911,live,845
2,CQ-LR-128,1,p,0.014743798412382603,live,845
2,CQ-LR-128,4,CO,0.5310062170028687,live,845
2,CQ-LR-128,4,T,0.2546941339969635,live,845
2,CQ-LR-128,4,U_0,0.13186205923557281,live,845
2,CQ-LR-128,4,U_1,0.658332109451294,live,845
2,CQ-LR-128,4,p,0.015597549267113209,live,845
2,CQ-LR-256,1,CO,0.4099034070968628,live,840
2,CQ-LR-256,1,T,0.17397546768188477,live,840
2,CQ-LR-256,1,U_0,0.10033032298088074,live,840
2,CQ-LR-256,1,U_1,0.4738806188106537,live,840
2,CQ-LR-256,1,p,0.01236978080123663,live,840
2,CQ-LR-256,4,CO,0.45722121000289917,live,840
2,CQ-LR-256,4,T,0.21394450962543488,live,840
2,CQ-LR-256,4,U_0,0.09879489243030548,live,840
2,CQ-LR-256,4,U_1,0.5624426603317261,live,840
2,CQ-LR-256,4,p,0.013765210285782814,live,840
2,GL_rbf_CQ,1,CO,0.40840935707092285,ema,1000
2,GL_rbf_CQ,1,T,0.17007490992546082,ema,1000
2,GL_rbf_CQ,1,U_0,0.09289699792861938,ema,1000
2,GL_rbf_CQ,1,U_1,0.4437384307384491,ema,1000
2,GL_rbf_CQ,1,p,0.012499765492975712,ema,1000
2,GL_rbf_CQ,4,CO,0.46923208236694336,ema,1000
2,GL_rbf_CQ,4,T,0.2129756361246109,ema,1000
2,GL_rbf_CQ,4,U_0,0.09505769610404968,ema,1000
2,GL_rbf_CQ,4,U_1,0.5369306206703186,ema,1000
2,GL_rbf_CQ,4,p,0.013262974098324776,ema,1000
