candidate,paired_n,paired_difference_vs_f0_e1000_mean,paired_difference_vs_f0_e1000_std,paired_difference_vs_f0_e1000_ci95_low,paired_difference_vs_f0_e1000_ci95_high
F0-e1000,192,0.0,0.0,0.0,0.0
CQ-LR-128-e1000,192,0.031512215617112815,0.03607962064508405,0.026408723837646596,0.03661570739657904
CQ-LR-256-best-e840-partial,192,-0.06452063486600916,0.05312005740269754,-0.07203451032900904,-0.05700675940300929
S7-B-e1000,192,-0.06402371358126402,0.053469308484493154,-0.07158699089475581,-0.05646043626777223
S7-B-best-e965,192,-0.06396653584670275,0.053406861792421816,-0.07152098002464759,-0.05641209166875792
