checkpoint,repeat,batch_index,manifest_start_index,rf_seed,loss,target_rms,batch_samples
control_DemoN9201_20260820_220303,0,0,0,1729,0.5959828495979309,1.2712417840957642,1
control_DemoN9201_20260820_220303,0,1,1,1730,1.2040878534317017,1.2374696731567383,1
control_DemoN9201_20260820_220303,0,2,2,1731,0.7762075662612915,1.3155573606491089,1
control_DemoN9201_20260820_220303,0,3,3,1732,1.7447528839111328,1.5026652812957764,1
control_DemoN9201_20260820_220303,0,4,4,1733,0.8016800284385681,1.438909888267517,1
control_DemoN9201_20260820_220303,0,5,5,1734,0.5932126045227051,1.229604721069336,1
control_DemoN9201_20260820_220303,0,6,6,1735,0.7924651503562927,1.2616817951202393,1
control_DemoN9201_20260820_220303,0,7,7,1736,0.586831271648407,1.2940534353256226,1
control_DemoN9201_20260820_220303,0,8,8,1737,1.0816904306411743,1.2541345357894897,1
control_DemoN9201_20260820_220303,0,9,9,1738,0.8867306709289551,1.358318567276001,1
control_DemoN9201_20260820_220303,0,10,10,1739,0.9058012962341309,1.4160829782485962,1
control_DemoN9201_20260820_220303,0,11,11,1740,0.688360869884491,1.2481945753097534,1
control_DemoN9201_20260820_220303,0,12,12,1741,0.706879198551178,1.3924716711044312,1
control_DemoN9201_20260820_220303,0,13,13,1742,0.9097427725791931,1.358562707901001,1
control_DemoN9201_20260820_220303,0,14,14,1743,0.9499775171279907,1.657221794128418,1
control_DemoN9201_20260820_220303,0,15,15,1744,0.871975839138031,1.585094690322876,1
control_DemoN9201_20260820_220303,0,16,16,1745,0.6965040564537048,1.198534607887268,1
control_DemoN9201_20260820_220303,0,17,17,1746,0.7151166200637817,1.4344464540481567,1
control_DemoN9201_20260820_220303,0,18,18,1747,0.8831003308296204,1.391371250152588,1
control_DemoN9201_20260820_220303,0,19,19,1748,0.9406747817993164,1.288348913192749,1
control_DemoN9201_20260820_220303,0,20,20,1749,0.8312214016914368,1.4614983797073364,1
control_DemoN9201_20260820_220303,0,21,21,1750,1.422719955444336,1.2719329595565796,1
control_DemoN9201_20260820_220303,0,22,22,1751,0.836276650428772,1.3184871673583984,1
control_DemoN9201_20260820_220303,0,23,23,1752,1.0444799661636353,1.4273203611373901,1
control_DemoN9201_20260820_220303,0,24,24,1753,1.0318406820297241,1.2381144762039185,1
control_DemoN9201_20260820_220303,0,25,25,1754,1.0831917524337769,1.269612431526184,1
control_DemoN9201_20260820_220303,0,26,26,1755,1.2136054039001465,1.5541954040527344,1
control_DemoN9201_20260820_220303,0,27,27,1756,0.8847122192382812,1.4548338651657104,1
control_DemoN9201_20260820_220303,0,28,28,1757,0.7554395198822021,1.2935200929641724,1
control_DemoN9201_20260820_220303,0,29,29,1758,0.898853600025177,1.5439237356185913,1
control_DemoN9201_20260820_220303,0,30,30,1759,0.7049727439880371,1.5464296340942383,1
control_DemoN9201_20260820_220303,0,31,31,1760,1.0947686433792114,1.4809482097625732,1
control_DemoN9201_20260820_220303,0,32,32,1761,0.9386889338493347,1.4537943601608276,1
control_DemoN9201_20260820_220303,0,33,33,1762,1.153685450553894,1.491246223449707,1
control_DemoN9201_20260820_220303,0,34,34,1763,0.7094408869743347,1.4101910591125488,1
control_DemoN9201_20260820_220303,0,35,35,1764,1.111498236656189,1.5030418634414673,1
control_DemoN9201_20260820_220303,0,36,36,1765,0.7043247222900391,1.4244263172149658,1
control_DemoN9201_20260820_220303,0,37,37,1766,0.9470745921134949,1.2375946044921875,1
control_DemoN9201_20260820_220303,0,38,38,1767,1.1314399242401123,1.1980024576187134,1
control_DemoN9201_20260820_220303,0,39,39,1768,1.132785677909851,1.2635536193847656,1
control_DemoN9201_20260820_220303,0,40,40,1769,1.1137880086898804,1.2661088705062866,1
control_DemoN9201_20260820_220303,0,41,41,1770,0.7111853957176208,1.3739055395126343,1
control_DemoN9201_20260820_220303,0,42,42,1771,0.8444965481758118,1.4393550157546997,1
control_DemoN9201_20260820_220303,0,43,43,1772,0.8816224932670593,1.4436804056167603,1
control_DemoN9201_20260820_220303,0,44,44,1773,1.0318995714187622,1.3601627349853516,1
control_DemoN9201_20260820_220303,0,45,45,1774,1.0609947443008423,1.368615984916687,1
control_DemoN9201_20260820_220303,0,46,46,1775,0.9321112036705017,1.4792680740356445,1
