profile,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,batch_size,N_full,N_query,N_obs_total,iterations,samples_per_sec,selected_query_points_per_sec,pre_model_latency_ms,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,total_step_ms,peak_allocated_mb,peak_reserved_mb,optimized_over_legacy_step_time,optimized_over_legacy_pre_model_time,optimized_over_legacy_gpu_memory
optimized,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,4,40300,4096,1024,8,498.45834867876704,2041685.3961882298,7.6884153531864285,7.112982217222452,2.847972442395985,1.4483267441391945,1.8657408654689789,0.6416440010070801,0.88473130017519,0.0,0.0,8.024742710404098,0.53564453125,2.0,,,
optimized,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,4,40300,16384,1024,8,305.4673648753133,5004777.306117133,12.592485290952027,12.887674733065069,5.831265123561025,1.7761336639523506,3.9303936064243317,0.8732416899874806,0.18145120702683926,0.0,0.0,13.094688532873988,2.03564453125,22.0,,,
