epoch,step,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,data_path_diag_storage_mode,batch_size,N_full,N_query,N_obs_total,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,pre_model_total_ms,model_forward_ms,backward_ms,query_microbatch_active,train_query_microbatch_size,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,query_microbatches,optimizer_ms,total_training_step_ms,allocated_after_materialization_mb,allocated_before_model_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36831,0.8476059883832932,90.1584792882204,33.98047108203173,55.45164458453655,12.168475426733494,1.139267347753048,0.0,0.0,192.89833772927523,102.01657097786665,138.793527148664,0,0,0.0,0.0,0.0,0.0,1,1.2792311608791351,362.62749694287777,59.0419921875,52.76708984375,23258.34912109375,27688.0
1,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36120,0.400615856051445,66.13303907215595,32.11764805018902,51.28094647079706,11.838255450129509,1.1498825624585152,0.0,0.0,162.51977160573006,103.034314699471,140.0350471958518,0,0,0.0,0.0,0.0,0.0,1,1.524236984550953,362.4375397339463,59.0419921875,52.76708984375,23258.34912109375,27688.0
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36453,0.18130987882614136,73.18123709410429,33.419220708310604,54.4721819460392,11.73517294228077,1.104065217077732,0.0,0.0,173.9118779078126,101.82101838290691,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,103.44610642641783,59.0419921875,59.0419921875,9805.41796875,27688.0
2,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37233,0.4947623237967491,84.97228100895882,36.842609755694866,55.99110946059227,13.073627837002277,1.0995958000421524,0.0,0.0,191.97922386229038,102.29091718792915,139.91967029869556,0,0,0.0,0.0,0.0,0.0,1,1.4191940426826477,366.2252286449075,59.0419921875,52.76708984375,23258.34912109375,27688.0
2,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37541,0.39698369801044464,66.36436004191637,31.676508486270905,51.99137981981039,11.411122046411037,1.18228979408741,0.0,0.0,162.6256601884961,104.54486776143312,142.15099532157183,0,0,0.0,0.0,0.0,0.0,1,1.3236496597528458,376.8591396510601,59.0419921875,52.76708984375,23258.34912109375,27688.0
3,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37282,0.3715604543685913,73.97045753896236,34.12741422653198,55.12702465057373,11.809215880930424,1.0311510413885117,0.0,0.0,176.065263338387,104.26242742687464,142.3490708693862,0,0,0.0,0.0,0.0,0.0,1,1.371980644762516,376.1632377281785,59.0419921875,52.76708984375,23258.34912109375,27688.0
3,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37273,0.3249058499932289,67.43881665170193,33.78911316394806,52.866093814373016,12.386098504066467,0.9836582466959953,0.0,0.0,167.46378038078547,105.29134795069695,143.3131769299507,0,0,0.0,0.0,0.0,0.0,1,1.8703751266002655,379.4874595478177,59.0419921875,52.76708984375,23258.34912109375,27688.0
4,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36101,0.37826504558324814,73.0812307447195,34.12937745451927,54.67585101723671,11.704162694513798,1.191229559481144,0.0,0.0,174.78185147047043,105.54501600563526,144.46641318500042,0,0,0.0,0.0,0.0,0.0,1,1.3337070122361183,380.745742470026,59.0419921875,52.76708984375,23258.34912109375,27688.0
4,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37352,0.4799552261829376,65.84557797759771,31.618976034224033,52.466049790382385,11.567540466785431,1.1996105313301086,0.0,0.0,162.69775480031967,106.86308145523071,145.52047662436962,0,0,0.0,0.0,0.0,0.0,1,1.3538217172026634,373.3212472870946,59.0419921875,52.76708984375,23258.34912109375,27688.0
5,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37628,0.4154220223426819,76.07942260801792,36.16654407233,57.978540658950806,12.919981963932514,0.9708069264888763,0.0,0.0,184.11529622972012,106.68288916349411,146.41864970326424,0,0,0.0,0.0,0.0,0.0,1,1.7100172117352486,388.45969550311565,59.0419921875,52.76708984375,23258.34912109375,27688.0
