manifest_index,f0_loss,f1_loss,f1_minus_f0
0,0.37739842136700946,0.42047152916590375,0.04307310779889423
1,0.7645211418469747,0.8550339142481486,0.09051277240117395
2,0.4698357383410136,0.5113504727681478,0.041514734427134194
3,0.6951116025447845,0.6381415128707886,-0.05697008967399597
4,0.4607530136903127,0.4422508180141449,-0.018502195676167787
5,0.5120254556337992,0.4637023409207662,-0.04832311471303304
6,0.5259480675061544,0.5487711628278097,0.022823095321655256
7,0.2551417549451192,0.2957642575105031,0.04062250256538391
8,0.6525826851526896,0.6669735610485077,0.014390875895818056
9,0.6247666279474894,0.6238014101982117,-0.0009652177492777692
10,0.3843989968299866,0.39314596851666767,0.00874697168668113
11,0.337666521469752,0.3388936122258504,0.0012270907560984294
12,0.3399535616238912,0.3409058153629303,0.0009522537390390847
13,0.39320974548657733,0.37601686517397565,-0.017192880312601726
14,0.3940799335638682,0.4429524838924408,0.04887255032857261
15,0.3256374895572662,0.29075059294700617,-0.03488689661026001
16,0.35953032970428467,0.3641267518202464,0.004596422115961729
17,0.5537918110688528,0.5585841437180837,0.00479233264923092
18,0.5305176079273224,0.5219142039616903,-0.008603403965632103
19,0.7241564194361368,0.7644323706626892,0.04027595122655229
20,0.3186665376027425,0.34151052435239154,0.022843986749649048
21,0.7001437445481619,0.6933658222357432,-0.006777922312418638
22,0.7409310837586721,0.7411130170027415,0.0001819332440693803
23,0.50816543896993,0.5542973577976227,0.04613191882769271
24,0.39159095287323,0.37245818972587585,-0.01913276314735411
25,0.43859468897183734,0.4461302061875661,0.0075355172157287416
26,0.5141876637935638,0.5010486940542856,-0.013138969739278158
27,0.312378724416097,0.294501061240832,-0.017877663175264995
28,0.3758204976717631,0.36035196979840595,-0.015468527873357138
29,0.3769903580347697,0.4006281991799672,0.02363784114519753
30,0.5206276476383209,0.5423686405022939,0.02174099286397302
31,0.5504146218299866,0.5619906981786092,0.01157607634862264
32,0.4606233934561412,0.4633236726125081,0.0027002791563670026
33,0.4427967369556427,0.44291483362515766,0.00011809666951495545
34,0.24457755188147223,0.22370976706345871,-0.0208677848180135
35,0.36045996348063153,0.34674533704916627,-0.013714626431465177
36,0.2307106256484985,0.21506047745545706,-0.015650148193041457
37,0.3592353214820226,0.36970382432142895,0.01046850283940635
38,0.7060505946477255,0.6388230522473654,-0.06722754240036011
39,0.5293916563193003,0.583378255367279,0.05398659904797872
40,0.5058908760547638,0.5584118366241455,0.052520960569381714
41,0.33256092667579645,0.4008725881576538,0.0683116614818573
42,0.49951062599817914,0.48381797472635907,-0.01569265127182007
43,0.35653569300969434,0.33262286583582557,-0.023912827173868795
44,0.7054263154665629,0.6753833889961243,-0.03004292647043864
45,0.38441532850265503,0.3991641302903493,0.014748801787694258
46,0.7599449356396993,0.734273225069046,-0.025671710570653223
47,0.4174048900604248,0.43647517760594684,0.019070287545522074
48,0.5460168421268463,0.5392067134380341,-0.006810128688812256
49,0.3996751109759013,0.39402930935223895,-0.005645801623662294
50,0.412494699160258,0.3941924174626668,-0.018302281697591145
51,0.4110402862230937,0.3928209642569224,-0.018219321966171254
52,0.3163993507623672,0.31482055286566407,-0.0015787978967031029
53,0.32012132803599036,0.350820596019427,0.030699267983436567
54,0.38854920864105225,0.36160874366760254,-0.026940464973449707
55,0.32894544800122577,0.34968245526154834,0.02073700726032258
56,0.30190829435984295,0.26248210171858466,-0.039426192641258274
57,0.568603903055191,0.5319422086079916,-0.0366616944471995
58,0.6397367119789122,0.6531970600287119,0.013460348049799656
59,0.5117047925790151,0.4686642289161682,-0.043040563662846865
60,0.6458781858285269,0.676576296488444,0.03069811065991716
61,0.7427185773849487,0.7044976751009623,-0.03822090228398641
62,0.5441881815592448,0.5362711648146311,-0.007917016744613647
63,0.6197938720385233,0.6236060559749603,0.0038121839364370267
