epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds,model
1,1.6506891994611592,1.4015798568725586,25.61028167791665,1.3584041502326727,27.07187508605421,F0
2,1.3054985966242798,,26.099629373289645,0.0,26.09972743317485,F0
3,1.1922836844802749,,26.73778075259179,0.0,26.737836627289653,F0
4,1.1016061119999443,,27.04541299305856,0.0,27.045466632582247,F0
5,1.0163338302720524,0.977592408657074,27.19252167828381,1.3620611485093832,28.701303818263117,F0
6,0.9876587779809396,,27.245760331861675,0.0,27.24581173621118,F0
7,0.9469488698540004,,27.24689755681902,0.0,27.24694784451276,F0
8,0.9490781743475732,,27.145362342707813,0.0,27.14541318733245,F0
9,0.9125406251731494,,27.04696360696107,0.0,27.04701668769121,F0
10,0.8789323306252771,0.8401859402656555,26.95620423555374,1.3394338889047503,28.446901401504874,F0
11,0.84832915177582,,26.946768668480217,0.0,26.946821469813585,F0
12,0.8202875015583444,,26.908634508028623,0.0,26.90868814755231,F0
13,0.8077179929043384,,26.884656304493543,0.0,26.88471022155136,F0
14,0.7962511752514129,,26.877019848674536,0.0,26.8770704139024,F0
15,0.7999299502541833,0.7762203812599182,26.85710814222693,1.305290981195867,28.302965040318668,F0
16,0.7912946119376109,,26.841685353778303,0.0,26.84176497533917,F0
17,0.7645388664083278,,26.930447776801884,0.0,26.93049498926848,F0
18,0.777302085930574,,26.92444952391088,0.0,26.92449952941388,F0
19,0.7566162001156638,,26.93547077197581,0.0,26.93552189692855,F0
20,0.7541373503123615,0.750085711479187,26.93801620602608,1.3310528434813025,28.394646202214066,F0
21,0.7482745123247728,,26.90369400102645,0.0,26.903746243566275,F0
22,0.7627406018845578,,26.901958357542757,0.0,26.90201031975448,F0
23,0.7456635820104721,,26.88787259347737,0.0,26.887939083389934,F0
24,0.7347958612103834,,26.90655638370663,0.0,26.90660778805613,F0
25,0.73652989813622,0.7293000221252441,26.867458044551316,1.3113240227103231,28.33051748853177,F0
26,0.729080524850399,,26.855936053209007,0.0,26.85598717816174,F0
27,0.7128523156998006,,26.917167625389997,0.0,26.917222939431667,F0
28,0.7359750084843196,,26.97877746168524,0.0,26.97885037586093,F0
29,0.7180037261746454,,27.01726382784545,0.0,27.017314394004643,F0
30,0.7225325023028868,0.7155631184577942,26.95562449283898,1.350294495932758,28.451946038752794,F0
31,0.7259977624771443,,26.9059268347919,0.0,26.90598494373262,F0
32,0.7206425227171985,,26.9321466088295,0.0,26.932220083661377,F0
33,0.7077327214234265,,26.939791339449584,0.0,26.93984525837004,F0
34,0.7031350101984984,,26.957120154984292,0.0,26.957179659977555,F0
35,0.7074900958554965,0.6975057721138,26.83637502510101,1.32994937710464,28.31245705485344,F0
36,0.6994114869029809,,26.899088075384498,0.0,26.89925569668412,F0
37,0.694201205639129,,26.955064670182765,0.0,26.95511886663735,F0
38,0.701816477674119,,26.9247491331771,0.0,26.924870100803677,F0
39,0.6988621704967309,,26.92726135533303,0.0,26.927312201820317,F0
40,0.7013467017640459,0.6913614273071289,26.950419107452035,1.3323809411376717,28.436905317008492,F0
41,0.6843399156069925,,26.947334799915552,0.0,26.94739067275077,F0
42,0.6842533409172762,,26.94612673670053,0.0,26.94617674406618,F0
43,0.6809413179438165,,26.955927667208016,0.0,26.95598074793816,F0
44,0.6881426006344193,,26.951066883280877,0.0,26.951127227395773,F0
45,0.6815258594269448,0.6858195662498474,26.897312661632892,1.3351844232529402,28.382502389140427,F0
46,0.6765491133886026,,26.90493622701615,0.0,26.904988748021424,F0
47,0.6827406105420268,,26.94610154349357,0.0,26.946154065430164,F0
48,0.6700561739874225,,26.9024492893368,0.0,26.902516617439687,F0
49,0.672480860500471,,26.838547937572,0.0,26.83860437106341,F0
50,0.6832017830923094,0.6789845824241638,26.80237477645278,1.3192437402904034,28.26853711251169,F0
51,0.6715870850475122,,26.79294399730861,0.0,26.793005738407373,F0
52,0.663248914353391,,26.83256647735834,0.0,26.83261900022626,F0
53,0.6596942658120013,,26.90885617863387,0.0,26.9089073035866,F0
54,0.6670125325520834,,26.93395661003888,0.0,26.934009131975472,F0
55,0.6680992613447473,0.6427014470100403,26.95039148721844,1.3519127368927002,28.451319527812306,F0
56,0.6694046453381262,,26.9299098784104,0.0,26.92996407672763,F0
57,0.665398563899047,,26.91764748096466,0.0,26.91770195774734,F0
58,0.6520039443428635,,26.914463427849117,0.0,26.914513434283435,F0
59,0.6579806821566101,,26.897911752574142,0.0,26.89796315599233,F0
60,0.6588301962994515,0.662502646446228,26.87152927927673,1.3370155980810523,28.27186014689505,F0
61,0.647582953703319,,26.850611832924187,0.0,26.85073056537658,F0
62,0.6380242422117409,,26.845415832474828,0.0,26.845471148379147,F0
63,0.6543500643249944,,26.887762119993567,0.0,26.887819391675293,F0
64,0.655918797702654,,26.89698990806937,0.0,26.897039076313376,F0
65,0.6402219407101895,0.6362272500991821,26.87274550832808,1.3607013328000903,28.357072219252583,F0
