metric,F0,F1,F1_over_F0
Epoch time,26.92693538687674,95.8226203574476,3.55861589819643
Training step,267.7976110101606,654.7148396709989,2.444812099709725
Reserved memory,18198.0,33634.0,1.8482250796790856
