candidate,epoch,checkpoint_scope,fixed_manifest_rf_mean,fixed_manifest_rf_std,fixed_manifest_rf_ci95_low,fixed_manifest_rf_ci95_high,rf_relative_change_vs_f0_e1000,paired_n,paired_difference_vs_f0_e1000_mean,paired_difference_vs_f0_e1000_std,paired_difference_vs_f0_e1000_ci95_low,paired_difference_vs_f0_e1000_ci95_high,reconstruction_checkpoint,recon_nfe1_mean,recon_nfe1_worst_field,recon_nfe1_worst,recon_nfe4_mean,recon_nfe4_worst_field,recon_nfe4_worst,train_step_ms,train_peak_allocated_mb,train_speedup_vs_f0,train_memory_reduction_vs_f0,persistent_1m_nfe4_s,persistent_1m_nfe4_speedup_vs_f0,total_parameters,cost_source
F0-e1000,1000,exact_milestone,0.3255307509098202,0.1867273995612563,0.2991180078813865,0.3519434939382539,0.0,192,0.0,0.0,0.0,0.0,F0-best,0.2396743945777416,U_1,0.5682828426361084,0.2624928198754787,U_1,0.6571363210678101,544.8382131755352,27346.20654296875,1.0,0.0,0.4366914965212345,1.0,2267407.0,formal_architecture_benchmark_B128_Q4096
CQ-LR-128-e1000,1000,exact_milestone,0.357042966526933,0.1856526461469361,0.3307822482459015,0.3833036848079645,0.0968025771115013,192,0.0315122156171128,0.036079620645084,0.0264087238376465,0.036615707396579,CQ-LR-128-best,0.2641916636377573,U_1,0.6075666546821594,0.2940144747495651,U_1,0.7070951461791992,437.8052348271012,22972.7177734375,1.244476241565964,0.1599303641131811,0.2433376861736178,1.7945904861183797,1643665.0,formal_architecture_benchmark_B128_Q4096
CQ-LR-256-best-e840-partial,840,partial_run_best,0.261010116043811,0.1726317602742994,0.2365912126938748,0.2854290193937472,-0.1982013517484341,192,-0.0645206348660091,0.0531200574026975,-0.072034510329009,-0.0570067594030092,CQ-LR-256-best-e840,0.2101189740002155,U_1,0.4382210373878479,0.2278820982202887,U_1,0.5256221890449524,,,,,,,,not_formally_matched_available_partial_reference
S7-B-e1000,1000,exact_milestone,0.2615070373285562,0.1668678023487553,0.237903450530298,0.2851106241268143,-0.1966748560691279,192,-0.064023713581264,0.0534693084844931,-0.0715869908947558,-0.0564604362677722,S7-B-e1000,0.213052518106997,U_1,0.4715900421142578,0.2342703782021999,U_1,0.5570289492607117,397.0565140247345,20239.46728515625,1.3721931108819303,0.2598802596859557,0.2856589835137129,1.5287161326059655,5490617.0,formal_architecture_benchmark_B128_Q4096
S7-B-best-e965,965,best,0.2615642150631174,0.1668312203621944,0.2379658028167074,0.2851626273095274,-0.1964992114198852,192,-0.0639665358467027,0.0534068617924218,-0.0715209800246475,-0.0564120916687579,S7-B-best-e965,0.2130274228751659,U_1,0.4713653922080993,0.23429518006742,U_1,0.5567805171012878,397.0565140247345,20239.46728515625,1.3721931108819303,0.2598802596859557,0.2856589835137129,1.5287161326059655,5490617.0,formal_architecture_benchmark_B128_Q4096
