candidate,epoch,mean_rf_loss,std_rf_loss
CQ-LR-128,1,1.7284786806752284,0.3413395671515796
CQ-LR-128,20,0.92209234709541,0.2994546892046969
CQ-LR-128,40,0.6877788819062213,0.2436943471200533
CQ-LR-128,60,0.6595164967390398,0.2362320701036779
CQ-LR-128,100,0.6747514342423528,0.2310363412883124
CQ-LR-128,200,0.5197443610522896,0.215069752229814
CQ-LR-128,400,0.4304752602862815,0.2062952450830185
CQ-LR-128,600,0.4025429515944173,0.2003310211154677
CQ-LR-128,800,0.3639122008656462,0.1869587394199723
CQ-LR-128,1000,0.357042966526933,0.1856526461469361
CQ-LR-256 (partial),200,0.4463289813138544,0.2033023572072434
CQ-LR-256 (partial),840,0.261010116043811,0.1726317602742994
F0,1,1.4420371403296788,0.284768501070192
F0,20,0.7565096917872628,0.2515480987708978
F0,40,0.6733173129614443,0.2289546721831348
F0,60,0.6851148103984693,0.2234280522309015
F0,100,0.5585577435170611,0.2154938658925496
F0,200,0.5051716984404871,0.2176095962107296
F0,400,0.4080723346754287,0.2110040549241544
F0,600,0.35638038511388,0.1960301748152736
F0,800,0.3336099491377051,0.1911108991690323
F0,1000,0.3255307509098202,0.1867273995612563
S7-B,1,1.9316713741670053,0.3548655622442115
S7-B,20,1.6666405058155458,0.4173873052068616
S7-B,40,0.8781910891023775,0.2889972218782205
S7-B,60,0.640107764940088,0.2242933646257696
S7-B,100,0.5432564441580325,0.2120004061156846
S7-B,150,0.4598168479278683,0.2017558617020137
S7-B,200,0.4070963296495999,0.1922714893697762
S7-B,400,0.3096783116149406,0.1726638882705453
S7-B,600,0.2764240952674299,0.1680541969676072
S7-B,800,0.2637159546138719,0.166820182512739
S7-B,965,0.2615642150631174,0.1668312203621944
S7-B,1000,0.2615070373285562,0.1668678023487553
