benchmark_class,status,data_source,N_full,N_query,N_obs,batch_size,read_ms,normalize_ms,index_sampling_ms,materialize_ms,h2d_ms,pre_model_ms,forward_ms,backward_ms,optimizer_ms,step_ms,gpu_peak_allocated_mb,gpu_peak_reserved_mb,selected_gpu_input_mb,host_rss_mb,host_max_rss_mb,queries_per_sec,samples_per_sec,ms_per_1k_queries,gpu_memory_mb_per_1k_queries,iterations,notes
model,ok,synthetic_3d_gpu,0,4096,256,1,0.0,0.0,0.0,0.0,0.0,0.0,43.553468460838,14.971426377693811,2.590316037336985,61.14501102517048,255.404296875,342.0,0.1318359375,1259.0846354166667,1252.09375,66988.29440579988,16.354564063915987,14.927981207317012,62.35456466674805,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,4096,512,1,0.0,0.0,0.0,0.0,0.0,0.0,44.78930744032065,14.908753956357637,2.5756961355606713,62.2910779590408,260.376953125,346.0,0.138671875,1259.3606770833333,1252.09375,65755.80539308222,16.053663426045464,15.207782704843945,63.5685920715332,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,4096,1024,1,0.0,0.0,0.0,0.0,0.0,0.0,47.425067673126854,14.504133102794489,2.580073041220506,64.52510536958773,271.068359375,352.0,0.15234375,1259.46875,1252.09375,63479.16793841526,15.497843734964663,15.753199553122005,66.17879867553711,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,16384,256,1,0.0,0.0,0.0,0.0,0.0,0.0,152.2908896828691,39.4830514366428,2.5638692701856294,194.35373414307833,797.888671875,902.0,0.5068359375,1260.2447916666667,1252.59375,84299.89818429993,5.145257457537838,11.862410531193746,48.699259757995605,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,16384,512,1,0.0,0.0,0.0,0.0,0.0,0.0,150.25717175255218,35.45714604357878,2.5935756663481393,188.32195519159237,802.8623046875,908.0,0.513671875,1260.2786458333333,1252.59375,86999.94635958126,5.310055319798661,11.494259960424339,49.00282621383667,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,16384,1024,1,0.0,0.0,0.0,0.0,0.0,0.0,179.5341925074657,36.00946068763733,2.98143457621336,218.55591206500927,812.0556640625,912.0,0.52734375,1260.3072916666667,1252.59375,74964.79891665705,4.575488215127994,13.3395942422491,49.5639443397522,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,65536,256,1,0.0,0.0,0.0,0.0,0.0,0.0,586.0483261446158,124.4236637527744,2.568339928984642,713.0535524338484,3022.658203125,3418.0,2.0068359375,1263.1940104166667,1256.09375,91908.9453748706,1.4024192104319855,10.880333746854376,46.12210392951965,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,65536,512,1,0.0,0.0,0.0,0.0,0.0,0.0,593.6084510758519,113.20715428640445,2.5563264886538186,709.3886019041141,3027.6318359375,3424.0,2.013671875,1263.2643229166667,1256.09375,92383.77924890637,1.409664600355627,10.824411039796663,46.19799554347992,3,current configured GL-RBF execution; synthetic values
model,ok,synthetic_3d_gpu,0,65536,1024,1,0.0,0.0,0.0,0.0,0.0,0.0,684.1076932226619,114.5617263391614,2.5129315132896104,801.1970647300283,3036.7001953125,3428.0,2.02734375,1263.3333333333333,1256.09375,81797.60371698695,1.2481323809354699,12.22529700820966,46.33636772632599,3,current configured GL-RBF execution; synthetic values
