benchmark_class,status,data_source,N_full,N_query,N_obs,batch_size,read_ms,normalize_ms,index_sampling_ms,materialize_ms,h2d_ms,pre_model_ms,forward_ms,backward_ms,optimizer_ms,step_ms,gpu_peak_allocated_mb,gpu_peak_reserved_mb,selected_gpu_input_mb,host_rss_mb,host_max_rss_mb,queries_per_sec,samples_per_sec,ms_per_1k_queries,gpu_memory_mb_per_1k_queries,iterations,notes
data,ok,real_hdf5,40300,4096,256,4,1.6623437404632568,1.7311622699101765,2.2175448636213937,0.6567969297369322,11.001859791576862,17.26970759530862,0.0,0.0,0.0,17.341224787135918,0.53515625,2.0,0.53515625,641.9322916666666,635.8984375,944800.6240109403,230.66421484642098,1.0584243644492137,0.03266334533691406,3,real HDF5
data,ok,real_hdf5,40300,4096,512,4,0.990831603606542,1.829965350528558,2.2354237735271454,0.5704723298549652,10.377002569536367,16.003695627053578,0.0,0.0,0.0,16.068043497701485,0.5703125,2.0,0.5703125,642.0690104166666,636.2317708333334,1019663.6573919975,248.94132260546814,0.9807155455140066,0.034809112548828125,3,real HDF5
data,ok,real_hdf5,40300,4096,1024,4,1.1344269538919132,4.9028464903434115,2.667701803147793,0.5106873189409574,11.494481625656286,20.710144191980362,0.0,0.0,0.0,20.777379473050434,0.640625,2.0,0.640625,642.11328125,636.3984375,788549.8756592994,192.51705948713365,1.268150602603176,0.03910064697265625,3,real HDF5
data,ok,real_hdf5,40300,16384,256,4,2.277980869015058,4.581104343136151,5.679121240973473,0.7454526300231615,10.63830591738224,23.921965000530083,0.0,0.0,0.0,24.168834711114567,2.03515625,22.0,2.03515625,645.8268229166666,640.3984375,2711591.219988022,165.50239379809705,0.3687871507433253,0.031054019927978516,3,real HDF5
data,ok,real_hdf5,40300,16384,512,4,2.591433934867382,4.356956730286281,5.60965109616518,0.9910178681214651,10.887318601210913,24.436378230651222,0.0,0.0,0.0,24.66564749677976,2.0703125,22.0,2.0703125,646.14453125,640.5494791666666,2656974.6449411516,162.16886260627146,0.3763679122433435,0.03159046173095703,3,real HDF5
data,ok,real_hdf5,40300,16384,1024,4,1.6188543910781543,5.609744228422642,6.0184622804323835,1.0687758525212605,8.001800936957201,22.31763768941164,0.0,0.0,0.0,22.39334707458814,2.140625,22.0,2.140625,646.0859375,640.625,2926583.497398204,178.62448104237086,0.34169535941449186,0.03266334533691406,3,real HDF5
data,ok,real_hdf5,40300,40300,256,4,1.9344485675295193,6.943922179440658,0.7419129833579063,0.942965659002463,11.484052054584026,22.04730144391457,0.0,0.0,0.0,22.41830403606097,4.955078125,22.0,4.95458984375,652.2083333333334,647.4388020833334,7190552.85095169,178.4256290558732,0.1390713649879713,0.030738698045905708,3,real HDF5
data,ok,real_hdf5,40300,40300,512,4,1.7714845016598701,6.930511134366195,0.9418486927946409,1.1222278699278831,11.134095179537931,21.900167378286522,0.0,0.0,0.0,22.239600618680317,4.990234375,22.0,4.98974609375,652.24609375,647.7486979166666,7248331.602888537,179.85934498482723,0.1379627829942948,0.030956788926799008,3,real HDF5
data,ok,real_hdf5,40300,40300,1024,4,1.716448925435543,7.00007410099109,1.1431810756524403,1.1534240717689197,9.151221873859564,20.164350047707558,0.0,0.0,0.0,20.479850781460602,5.060546875,22.0,5.06005859375,652.24609375,647.83203125,7871151.099690941,195.31392306925412,0.12704622072866378,0.03139297068858561,3,real HDF5
data,ok,synthetic_expanded_memory,250000,4096,256,4,2.5138619045416513,1.857342819372813,2.2271362443765006,0.8769420286019644,10.50346406797568,17.978747064868607,0.0,0.0,0.0,18.039184001584847,0.53515625,22.0,0.53515625,657.41796875,656.17578125,908245.0735332912,221.73951990558868,1.1010244141592314,0.03266334533691406,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
