candidate,epoch,fixed_manifest_rf_mean,fixed_manifest_rf_std,paired_n,paired_difference_vs_f0_mean,paired_difference_vs_f0_std,paired_difference_vs_f0_ci95_low,paired_difference_vs_f0_ci95_high,paired_relative_rf_vs_f0,recon_nfe1_mean,recon_nfe1_worst_field,recon_nfe1_worst,recon_nfe4_mean,recon_nfe4_worst_field,recon_nfe4_worst,train_step_ms,train_peak_allocated_mb,train_speedup_vs_f0,train_memory_reduction_vs_f0,persistent_1m_nfe4_s,persistent_1m_nfe4_speedup_vs_f0,cost_source
F0-128,200,0.5051716984404871,0.21760959621072964,192,0.0,0.0,0.0,0.0,0.0,0.29150774888694286,U_1,0.7083566784858704,0.327143007516861,U_1,0.8439915776252747,544.8382131755352,27346.20654296875,1.0,0.0,0.4366914965212345,1.0,formal_stage7_benchmark
CQ-LR-128,200,0.5197443610522896,0.21506975222981406,192,0.01457266261180242,0.07509268470906548,0.003950741087719511,0.02519458413588533,0.028846949773294127,0.3136381983757019,U_1,0.7824916243553162,0.3621830247342587,U_1,0.9840551018714905,437.80523482710123,22972.7177734375,1.244476241565964,0.15993036411318118,0.24333768617361784,1.7945904861183795,formal_stage7_benchmark
CQ-LR-256,200,0.44632898131385446,0.2033023572072434,192,-0.05884271712663273,0.11164912741033094,-0.07463557729909237,-0.043049856954173085,-0.11648062887981604,0.29245478473603725,U_1,0.6854676604270935,0.32477401830255986,U_1,0.823648989200592,477.12040751171287,23734.168338715932,1.1370500635359988,0.09104814214500567,,,cumulative_training_diagnostics_unmatched
S7-A,200,0.49925631649481755,0.20545004823893526,192,-0.005915381945669651,0.08512762844649825,-0.0179567544494394,0.0061259905581001,-0.011709646371582167,0.3053119421005249,U_1,0.7560281753540039,0.34851025938987734,U_1,0.9267157912254333,332.2684533894062,18623.6171875,1.6397530599662593,0.3189688976335001,0.3031026069074869,1.4407381743652294,formal_stage7_benchmark
S7-B,200,0.4070963296495999,0.19227148936977623,192,-0.0980753687908873,0.09517286662492706,-0.11153764843142254,-0.08461308915035205,-0.19414264317192598,0.28661890178918836,U_1,0.6858598589897156,0.3310687068849802,U_1,0.858781635761261,397.0565140247345,20239.46728515625,1.3721931108819303,0.25988025968595574,0.2856589835137129,1.5287161326059657,formal_stage7_benchmark
