candidate,epoch,mean_rf_loss,std_rf_loss
F0-128,1,1.4420371403296788,0.284768501070192
F0-128,20,0.7565096917872628,0.25154809877089784
F0-128,40,0.6733173129614443,0.2289546721831348
F0-128,60,0.6851148103984693,0.22342805223090156
F0-128,100,0.5585577435170611,0.21549386589254962
F0-128,200,0.5051716984404871,0.21760959621072964
F0-128,400,0.40807233467542875,0.21100405492415447
F0-128,600,0.35638038511388004,0.19603017481527368
F0-128,800,0.3336099491377051,0.19111089916903232
F0-128,1000,0.3255307509098202,0.18672739956125636
CQ-LR-128,1,1.7284786806752284,0.34133956715157965
CQ-LR-128,20,0.92209234709541,0.2994546892046969
CQ-LR-128,40,0.6877788819062213,0.2436943471200533
CQ-LR-128,60,0.6595164967390398,0.23623207010367797
CQ-LR-128,100,0.6747514342423528,0.2310363412883124
CQ-LR-128,200,0.5197443610522896,0.21506975222981406
CQ-LR-128,400,0.4304752602862815,0.2062952450830185
CQ-LR-128,600,0.4025429515944173,0.20033102111546777
CQ-LR-128,800,0.3639122008656462,0.1869587394199723
CQ-LR-128,1000,0.357042966526933,0.18565264614693613
CQ-LR-256,200,0.44632898131385446,0.2033023572072434
S7-A,1,1.914475337912639,0.35188154285983503
S7-A,20,1.5282493373379111,0.3681563588077356
S7-A,40,1.0632944228127599,0.3407880121800572
S7-A,60,0.7016709349118173,0.23899580179103583
S7-A,100,0.5973924727489551,0.21757838922627562
S7-A,150,0.5410944215642909,0.20890163584435875
S7-A,200,0.49925631649481755,0.20545004823893526
S7-B,1,1.9316713741670053,0.3548655622442115
S7-B,20,1.6666405058155458,0.4173873052068616
S7-B,40,0.8781910891023775,0.2889972218782205
S7-B,60,0.640107764940088,0.2242933646257696
S7-B,100,0.5432564441580325,0.21200040611568463
S7-B,150,0.45981684792786837,0.20175586170201373
S7-B,200,0.4070963296495999,0.19227148936977623
